GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
validator,net.enesusta.validator.core,AnnotationValidator,0,32,0,0,0,8,0,8,0,8
validator,net.enesusta.validator.core,Student,3,27,0,0,1,13,1,7,1,7
validator,net.enesusta.validator.core,DefaultValidator,12,231,2,18,2,51,2,12,0,4
validator,net.enesusta.validator.email,EmailFieldValidator,4,35,1,3,2,11,1,4,0,3
validator,net.enesusta.validator.email,EmailBean,3,7,0,0,1,3,1,2,1,2
validator,net.enesusta.validator.email,EmailValidator,0,48,0,8,0,10,0,6,0,2
validator,net.enesusta.validator.negative,NegativeValidator,0,48,0,8,0,10,0,6,0,2
validator,net.enesusta.validator.negative,NegativeFieldValidator,3,37,0,4,2,13,0,5,0,3
validator,net.enesusta.validator.negative,NegativeBean,20,11,0,0,8,5,6,3,6,3
validator,net.enesusta.validator.core.log,FileLogger,29,0,0,0,8,0,3,0,3,0
validator,net.enesusta.validator.core.log,ConsoleLogger,15,0,0,0,4,0,3,0,3,0
validator,net.enesusta.validator.core.log,LogUtils,25,0,2,0,10,0,3,0,2,0
validator,net.enesusta.validator.regex,RegexFieldValidator,3,36,0,0,2,12,0,2,0,2
validator,net.enesusta.validator.regex,RegexBean,0,7,0,0,0,3,0,2,0,2
validator,net.enesusta.validator.regex,RegexValidator,3,45,2,6,1,9,2,4,0,2
validator,net.enesusta.validator.size,SizeValidator,0,48,0,8,0,10,0,6,0,2
validator,net.enesusta.validator.size,SizeFieldValidator,4,93,1,15,3,27,1,9,0,2
validator,net.enesusta.validator.size,SizeBean,15,23,0,0,5,11,5,6,5,6
validator,net.enesusta.validator.max,MaxValidator,0,48,0,8,0,10,0,6,0,2
validator,net.enesusta.validator.max,MaxBean,9,15,0,0,3,7,3,4,3,4
validator,net.enesusta.validator.max,MaxFieldValidator,4,86,1,11,2,24,1,7,0,2
validator,net.enesusta.validator.positive,PositiveFieldValidator,3,57,0,4,2,16,0,6,0,4
validator,net.enesusta.validator.positive,PositiveValidator,0,48,0,8,0,10,0,6,0,2
validator,net.enesusta.validator.positive,PositiveBean,30,15,0,0,12,7,9,4,9,4
validator,net.enesusta.validator.nonnull,NonNullBean,3,0,0,0,1,0,1,0,1,0
validator,net.enesusta.validator.nonnull,NonNullFieldValidator,47,6,8,0,15,3,5,1,1,1
validator,net.enesusta.validator.min,MinBean,0,31,0,0,0,15,0,8,0,8
validator,net.enesusta.validator.min,MinFieldValidator,5,91,2,10,2,24,2,6,0,2
validator,net.enesusta.validator.min,MinValidator,0,48,0,8,0,10,0,6,0,2
